competencia,valor
201901,99851
201901,99838
201903,109446
201904,100453
201905,109414
201905,105882
201906,106765
201907,108003
201908,96880
201909,92067
201910,94629
201911,103508
201912,90643
202001,96170
202002,102365
202003,103950
202004,97086
202005,95769
202006,108703
202007,109228
202008,104481
202009,102931
202010,101556
202011,101754
202012,104188
202101,94303
202102,106877
202103,95628
202104,103669
202105,97949
202106,98723
202107,106329
202108,109989
202109,91626
202110,106890
202111,106464
202112,100600
202201,108981
202202,101357
202203,109010
202204,98754
202205,90706
202206,92205
202207,98002
202208,106687
202209,108448
202210,96796
202211,105794
202212,109158
202301,108765
202302,101742
202303,101697
202304,104487
202305,100625
202306,90776
202307,101136
202308,102281
202309,93093
202310,104644
202311,99949
