cnpj,periodo,entregueem
12345678000190,201901,2019-01-20
98765432000110,201901,2019-01-20
11223344000155,201901,2019-01-20
99887766000122,201901,2019-01-20
55443322000188,201901,2019-01-20
12345678000190,201901,2019-01-20
98765432000110,201901,2019-01-20
11223344000155,201901,2019-01-20
99887766000122,201901,2019-01-20
55443322000188,201901,2019-01-20
12345678000190,201903,2019-03-20
98765432000110,201903,2019-03-20
11223344000155,201903,2019-03-20
99887766000122,201903,2019-03-20
55443322000188,201903,2019-03-20
12345678000190,201904,2019-04-20
98765432000110,201904,2019-04-20
11223344000155,201904,2019-04-20
99887766000122,201904,2019-04-20
55443322000188,201904,2019-04-20
12345678000190,201905,2019-05-20
98765432000110,201905,2019-05-20
11223344000155,201905,2019-05-20
99887766000122,201905,2019-05-20
55443322000188,201905,2019-05-20
12345678000190,201905,2019-05-20
98765432000110,201905,2019-05-20
11223344000155,201905,2019-05-20
99887766000122,201905,2019-05-20
55443322000188,201905,2019-05-20
12345678000190,201906,2019-06-20
98765432000110,201906,2019-06-20
11223344000155,201906,2019-06-20
99887766000122,201906,2019-06-20
55443322000188,201906,2019-06-20
12345678000190,201907,2019-07-20
98765432000110,201907,2019-07-20
11223344000155,201907,2019-07-20
99887766000122,201907,2019-07-20
55443322000188,201907,2019-07-20
12345678000190,201908,2019-08-20
98765432000110,201908,2019-08-20
11223344000155,201908,2019-08-20
99887766000122,201908,2019-08-20
55443322000188,201908,2019-08-20
12345678000190,201909,2019-09-20
98765432000110,201909,2019-09-20
11223344000155,201909,2019-09-20
99887766000122,201909,2019-09-20
55443322000188,201909,2019-09-20
12345678000190,201910,2019-10-20
98765432000110,201910,2019-10-20
11223344000155,201910,2019-10-20
99887766000122,201910,2019-10-20
55443322000188,201910,2019-10-20
12345678000190,201911,2019-11-20
98765432000110,201911,2019-11-20
11223344000155,201911,2019-11-20
99887766000122,201911,2019-11-20
55443322000188,201911,2019-11-20
12345678000190,201912,2019-12-20
98765432000110,201912,2019-12-20
11223344000155,201912,2019-12-20
99887766000122,201912,2019-12-20
55443322000188,201912,2019-12-20
12345678000190,202001,2020-01-20
98765432000110,202001,2020-01-20
11223344000155,202001,2020-01-20
99887766000122,202001,2020-01-20
55443322000188,202001,2020-01-20
12345678000190,202002,2020-02-20
98765432000110,202002,2020-02-20
11223344000155,202002,2020-02-20
99887766000122,202002,2020-02-20
55443322000188,202002,2020-02-20
12345678000190,202003,2020-03-20
98765432000110,202003,2020-03-20
11223344000155,202003,2020-03-20
99887766000122,202003,2020-03-20
55443322000188,202003,2020-03-20
12345678000190,202004,2020-04-20
98765432000110,202004,2020-04-20
11223344000155,202004,2020-04-20
99887766000122,202004,2020-04-20
55443322000188,202004,2020-04-20
12345678000190,202005,2020-05-20
98765432000110,202005,2020-05-20
11223344000155,202005,2020-05-20
99887766000122,202005,2020-05-20
55443322000188,202005,2020-05-20
12345678000190,202006,2020-06-20
98765432000110,202006,2020-06-20
11223344000155,202006,2020-06-20
99887766000122,202006,2020-06-20
55443322000188,202006,2020-06-20
12345678000190,202007,2020-07-20
98765432000110,202007,2020-07-20
11223344000155,202007,2020-07-20
99887766000122,202007,2020-07-20
55443322000188,202007,2020-07-20
12345678000190,202008,2020-08-20
98765432000110,202008,2020-08-20
11223344000155,202008,2020-08-20
99887766000122,202008,2020-08-20
55443322000188,202008,2020-08-20
12345678000190,202009,2020-09-20
98765432000110,202009,2020-09-20
11223344000155,202009,2020-09-20
99887766000122,202009,2020-09-20
55443322000188,202009,2020-09-20
12345678000190,202010,2020-10-20
98765432000110,202010,2020-10-20
11223344000155,202010,2020-10-20
99887766000122,202010,2020-10-20
55443322000188,202010,2020-10-20
12345678000190,202011,2020-11-20
98765432000110,202011,2020-11-20
11223344000155,202011,2020-11-20
99887766000122,202011,2020-11-20
55443322000188,202011,2020-11-20
12345678000190,202012,2020-12-20
98765432000110,202012,2020-12-20
11223344000155,202012,2020-12-20
99887766000122,202012,2020-12-20
55443322000188,202012,2020-12-20
12345678000190,202101,2021-01-20
98765432000110,202101,2021-01-20
11223344000155,202101,2021-01-20
99887766000122,202101,2021-01-20
55443322000188,202101,2021-01-20
12345678000190,202102,2021-02-20
98765432000110,202102,2021-02-20
11223344000155,202102,2021-02-20
99887766000122,202102,2021-02-20
55443322000188,202102,2021-02-20
12345678000190,202103,2021-03-20
98765432000110,202103,2021-03-20
11223344000155,202103,2021-03-20
99887766000122,202103,2021-03-20
55443322000188,202103,2021-03-20
12345678000190,202104,2021-04-20
98765432000110,202104,2021-04-20
11223344000155,202104,2021-04-20
99887766000122,202104,2021-04-20
55443322000188,202104,2021-04-20
12345678000190,202105,2021-05-20
98765432000110,202105,2021-05-20
11223344000155,202105,2021-05-20
99887766000122,202105,2021-05-20
55443322000188,202105,2021-05-20
12345678000190,202106,2021-06-20
98765432000110,202106,2021-06-20
11223344000155,202106,2021-06-20
99887766000122,202106,2021-06-20
55443322000188,202106,2021-06-20
12345678000190,202107,2021-07-20
98765432000110,202107,2021-07-20
11223344000155,202107,2021-07-20
99887766000122,202107,2021-07-20
55443322000188,202107,2021-07-20
12345678000190,202108,2021-08-20
98765432000110,202108,2021-08-20
11223344000155,202108,2021-08-20
99887766000122,202108,2021-08-20
55443322000188,202108,2021-08-20
12345678000190,202109,2021-09-20
98765432000110,202109,2021-09-20
11223344000155,202109,2021-09-20
99887766000122,202109,2021-09-20
55443322000188,202109,2021-09-20
12345678000190,202110,2021-10-20
98765432000110,202110,2021-10-20
11223344000155,202110,2021-10-20
99887766000122,202110,2021-10-20
55443322000188,202110,2021-10-20
12345678000190,202111,2021-11-20
98765432000110,202111,2021-11-20
11223344000155,202111,2021-11-20
99887766000122,202111,2021-11-20
55443322000188,202111,2021-11-20
12345678000190,202112,2021-12-20
98765432000110,202112,2021-12-20
11223344000155,202112,2021-12-20
99887766000122,202112,2021-12-20
55443322000188,202112,2021-12-20
12345678000190,202201,2022-01-20
98765432000110,202201,2022-01-20
11223344000155,202201,2022-01-20
99887766000122,202201,2022-01-20
55443322000188,202201,2022-01-20
12345678000190,202202,2022-02-20
98765432000110,202202,2022-02-20
11223344000155,202202,2022-02-20
99887766000122,202202,2022-02-20
55443322000188,202202,2022-02-20
12345678000190,202203,2022-03-20
98765432000110,202203,2022-03-20
11223344000155,202203,2022-03-20
99887766000122,202203,2022-03-20
55443322000188,202203,2022-03-20
12345678000190,202204,2022-04-20
98765432000110,202204,2022-04-20
11223344000155,202204,2022-04-20
99887766000122,202204,2022-04-20
55443322000188,202204,2022-04-20
12345678000190,202205,2022-05-20
98765432000110,202205,2022-05-20
11223344000155,202205,2022-05-20
99887766000122,202205,2022-05-20
55443322000188,202205,2022-05-20
12345678000190,202206,2022-06-20
98765432000110,202206,2022-06-20
11223344000155,202206,2022-06-20
99887766000122,202206,2022-06-20
55443322000188,202206,2022-06-20
12345678000190,202207,2022-07-20
98765432000110,202207,2022-07-20
11223344000155,202207,2022-07-20
99887766000122,202207,2022-07-20
55443322000188,202207,2022-07-20
12345678000190,202208,2022-08-20
98765432000110,202208,2022-08-20
11223344000155,202208,2022-08-20
99887766000122,202208,2022-08-20
55443322000188,202208,2022-08-20
12345678000190,202209,2022-09-20
98765432000110,202209,2022-09-20
11223344000155,202209,2022-09-20
99887766000122,202209,2022-09-20
55443322000188,202209,2022-09-20
12345678000190,202210,2022-10-20
98765432000110,202210,2022-10-20
11223344000155,202210,2022-10-20
99887766000122,202210,2022-10-20
55443322000188,202210,2022-10-20
12345678000190,202211,2022-11-20
98765432000110,202211,2022-11-20
11223344000155,202211,2022-11-20
99887766000122,202211,2022-11-20
55443322000188,202211,2022-11-20
12345678000190,202212,2022-12-20
98765432000110,202212,2022-12-20
11223344000155,202212,2022-12-20
99887766000122,202212,2022-12-20
55443322000188,202212,2022-12-20
12345678000190,202301,2023-01-20
98765432000110,202301,2023-01-20
11223344000155,202301,2023-01-20
99887766000122,202301,2023-01-20
55443322000188,202301,2023-01-20
12345678000190,202302,2023-02-20
98765432000110,202302,2023-02-20
11223344000155,202302,2023-02-20
99887766000122,202302,2023-02-20
55443322000188,202302,2023-02-20
12345678000190,202303,2023-03-20
98765432000110,202303,2023-03-20
11223344000155,202303,2023-03-20
99887766000122,202303,2023-03-20
55443322000188,202303,2023-03-20
12345678000190,202304,2023-04-20
98765432000110,202304,2023-04-20
11223344000155,202304,2023-04-20
99887766000122,202304,2023-04-20
55443322000188,202304,2023-04-20
12345678000190,202305,2023-05-20
98765432000110,202305,2023-05-20
11223344000155,202305,2023-05-20
99887766000122,202305,2023-05-20
55443322000188,202305,2023-05-20
12345678000190,202306,2023-06-20
98765432000110,202306,2023-06-20
11223344000155,202306,2023-06-20
99887766000122,202306,2023-06-20
55443322000188,202306,2023-06-20
12345678000190,202307,2023-07-20
98765432000110,202307,2023-07-20
11223344000155,202307,2023-07-20
99887766000122,202307,2023-07-20
55443322000188,202307,2023-07-20
12345678000190,202308,2023-08-20
98765432000110,202308,2023-08-20
11223344000155,202308,2023-08-20
99887766000122,202308,2023-08-20
55443322000188,202308,2023-08-20
12345678000190,202309,2023-09-20
98765432000110,202309,2023-09-20
11223344000155,202309,2023-09-20
99887766000122,202309,2023-09-20
55443322000188,202309,2023-09-20
12345678000190,202310,2023-10-20
98765432000110,202310,2023-10-20
11223344000155,202310,2023-10-20
99887766000122,202310,2023-10-20
55443322000188,202310,2023-10-20
12345678000190,202311,2023-11-20
98765432000110,202311,2023-11-20
11223344000155,202311,2023-11-20
99887766000122,202311,2023-11-20
55443322000188,202311,2023-11-20
