cnpj,numero,periodo,data_emissao,vencimento,situacao,valor_total,valor_principal,valor_multa,valor_juros,pago_em,banco,agencia,valor_pago,tributo,tributo_valor_principal,tributo_valor_juros,tributo_valor_multa
12345678000190,GUIA-201901-01,01/2019,2019-01-10,2019-01-20,Quitada,2000.00,1800.00,100.00,100.00,2019-01-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201901-02,01/2019,2019-01-10,2019-01-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201901-03,01/2019,2019-01-10,2019-01-20,Quitada,2600.00,2340.00,130.00,130.00,2019-01-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201901-04,01/2019,2019-01-10,2019-01-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201901-05,01/2019,2019-01-10,2019-01-20,Quitada,3200.00,2880.00,160.00,160.00,2019-01-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-201901-01,01/2019,2019-01-10,2019-01-20,Quitada,2000.00,1800.00,100.00,100.00,2019-01-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201901-02,01/2019,2019-01-10,2019-01-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201901-03,01/2019,2019-01-10,2019-01-20,Quitada,2600.00,2340.00,130.00,130.00,2019-01-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201901-04,01/2019,2019-01-10,2019-01-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201901-05,01/2019,2019-01-10,2019-01-20,Quitada,3200.00,2880.00,160.00,160.00,2019-01-18,001,0001,3200,ISS,2880.00,160.00,160.00
