cnpj,numero,situacao,valor_total,qtd_parcelas,data_pedido,data_situacao,parcela_numero,parcela_vencimento,parcela_valor,parcela_situacao,parcela_pago_em,parcela_valor_pago
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,1,2024-01-10,4166.67,Paga,2024-01-15,4166.666666666667
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,2,2024-02-10,4166.67,Paga,2024-02-15,4166.666666666667
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,3,2024-03-10,4166.67,Paga,2024-03-15,4166.666666666667
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,4,2024-04-10,4166.67,Paga,2024-04-15,4166.666666666667
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,5,2024-05-10,4166.67,Paga,2024-05-15,4166.666666666667
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,6,2024-06-10,4166.67,Paga,2024-06-15,4166.666666666667
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,7,2024-07-10,4166.67,Em Aberto,,0
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,8,2024-08-10,4166.67,Em Aberto,,0
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,9,2024-09-10,4166.67,Em Aberto,,0
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,10,2024-10-10,4166.67,Em Aberto,,0
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,11,2024-11-10,4166.67,Em Aberto,,0
12345678000190,PARC-001,Ativo,50000,12,2024-01-05,2024-01-10,12,2024-12-10,4166.67,Em Aberto,,0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,1,2024-01-10,5000.00,Paga,2024-01-15,5000.0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,2,2024-02-10,5000.00,Paga,2024-02-15,5000.0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,3,2024-03-10,5000.00,Paga,2024-03-15,5000.0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,4,2024-04-10,5000.00,Paga,2024-04-15,5000.0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,5,2024-05-10,5000.00,Paga,2024-05-15,5000.0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,6,2024-06-10,5000.00,Paga,2024-06-15,5000.0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,7,2024-07-10,5000.00,Em Aberto,,0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,8,2024-08-10,5000.00,Em Aberto,,0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,9,2024-09-10,5000.00,Em Aberto,,0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,10,2024-10-10,5000.00,Em Aberto,,0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,11,2024-11-10,5000.00,Em Aberto,,0
98765432000110,PARC-002,Ativo,60000,12,2024-01-05,2024-01-10,12,2024-12-10,5000.00,Em Aberto,,0
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,1,2024-01-10,5833.33,Paga,2024-01-15,5833.333333333333
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,2,2024-02-10,5833.33,Paga,2024-02-15,5833.333333333333
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,3,2024-03-10,5833.33,Paga,2024-03-15,5833.333333333333
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,4,2024-04-10,5833.33,Paga,2024-04-15,5833.333333333333
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,5,2024-05-10,5833.33,Paga,2024-05-15,5833.333333333333
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,6,2024-06-10,5833.33,Paga,2024-06-15,5833.333333333333
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,7,2024-07-10,5833.33,Em Aberto,,0
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,8,2024-08-10,5833.33,Em Aberto,,0
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,9,2024-09-10,5833.33,Em Aberto,,0
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,10,2024-10-10,5833.33,Em Aberto,,0
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,11,2024-11-10,5833.33,Em Aberto,,0
11223344000155,PARC-003,Ativo,70000,12,2024-01-05,2024-01-10,12,2024-12-10,5833.33,Em Aberto,,0
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,1,2024-01-10,6666.67,Paga,2024-01-15,6666.666666666667
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,2,2024-02-10,6666.67,Paga,2024-02-15,6666.666666666667
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,3,2024-03-10,6666.67,Paga,2024-03-15,6666.666666666667
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,4,2024-04-10,6666.67,Paga,2024-04-15,6666.666666666667
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,5,2024-05-10,6666.67,Paga,2024-05-15,6666.666666666667
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,6,2024-06-10,6666.67,Paga,2024-06-15,6666.666666666667
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,7,2024-07-10,6666.67,Em Aberto,,0
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,8,2024-08-10,6666.67,Em Aberto,,0
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,9,2024-09-10,6666.67,Em Aberto,,0
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,10,2024-10-10,6666.67,Em Aberto,,0
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,11,2024-11-10,6666.67,Em Aberto,,0
99887766000122,PARC-004,Ativo,80000,12,2024-01-05,2024-01-10,12,2024-12-10,6666.67,Em Aberto,,0
55443322000188,PARC-005,Ativo,90000,12,2024-01-05,2024-01-10,1,2024-01-10,7500.00,Paga,2024-01-15,7500.0
55443322000188,PARC-005,Ativo,90000,12,2024-01-05,2024-01-10,2,2024-02-10,7500.00,Paga,2024-02-15,7500.0
55443322000188,PARC-005,Ativo,90000,12,2024-01-05,2024-01-10,3,2024-03-10,7500.00,Paga,2024-03-15,7500.0
55443322000188,PARC-005,Ativo,90000,12,2024-01-05,2024-01-10,4,2024-04-10,7500.00,Paga,2024-04-15,7500.0
55443322000188,PARC-005,Ativo,90000,12,2024-01-05,2024-01-10,5,2024-05-10,7500.00,Paga,2024-05-15,7500.0
55443322000188,PARC-005,Ativo,90000,12,2024-01-05,2024-01-10,6,2024-06-10,7500.00,Paga,2024-06-15,7500.0
55443322000188,PARC-005,Ativo,90000,12,2024-01-05,2024-01-10,7,2024-07-10,7500.00,Em Aberto,,0
55443322000188,PARC-005,Ativo,90000,12,2024-01-05,2024-01-10,8,2024-08-10,7500.00,Em Aberto,,0
